DAY,TIME,COURT,HOME,AWAY,,,,,,
THUR,4:30 PM,16,Wisconsin Playground Elite U17 ,ISAA 17U,,,,,,
THUR,4:30 PM,17,MN Warriors Elite,Austin Elite RFW,,,,,,
THUR,4:30 PM,18,United NJ Osta - Navy,Colorado Hoopsters Black ,,,,,,
THUR,4:30 PM,19,IL Lady Lightning Bronze,Flow 15U,,,,,,
THUR,4:30 PM,20,Arkansas Hawks 15U,Lakers Purple 15U,,,,,,
THUR,4:30 PM,21,KW Lightning U15,Clutch Players Lava,,,,,,
THUR,4:30 PM,22,Cincy Shock 16U,Lady Meanstreets 16U,,,,,,
THUR,4:30 PM,23,Midwest Wildcats Mellon,Rush U17 White,,,,,,
THUR,4:30 PM,24,Albany Lady Stars 17U Black,Vogues - 16 National - Priester,,,,,,
THUR,4:30 PM,25,Vegas Bulldogs,Charlotte Monarchs,,,,,,
THUR,4:30 PM,26,Illinois Defenders 14U Black,Illinois Wildcat Elite,,,,,,
THUR,4:30 PM,27,KW Lightning Tri-County Juel,Springfield Predators Crum,,,,,,
THUR,4:30 PM,28,Missouri Rockets,Cardinal Crusaders,,,,,,
THUR,4:30 PM,29,Northern Blizzard 16U,NY iExcel 16U,,,,,,
THUR,4:30 PM,30,United NJ Clarke,No Limits,,,,,,
THUR,4:30 PM,31,South Dakota Attack 15U,NY Belles,,,,,,
THUR,4:30 PM,32,Longmont Rush ,Illinois Rockets Stone,,,,,,
THUR,4:30 PM,33,WBA Lady Knicks Blanco,California Storm 17U Elite,,,,,,
THUR,4:30 PM,34,TeamXpress Blue 17U,Purple Aces 17U,,,,,,
THUR,4:30 PM,35,Lakers 8th Grade Elles,5280 Threat Blue,,,,,,
THUR,4:30 PM,36,Bulls Elite Onyx,Canada Drive 17U,,,,,,
THUR,4:30 PM,37,Lakers Black U17,Arkansas Lady Hawks,,,,,,
THUR,4:30 PM,38,FURY 2015 Haney,C-U Elite,,,,,,
THUR,4:30 PM,39,Bolingbrook Panthers 17U,Comets Shields,,,,,,
THUR,4:30 PM,40,Greg Grant Basketball Club Chriss,Team Manitoba 17U,,,,,,
THUR,4:30 PM,41,Albany Capitals Elite,San Diego Sol,,,,,,
THUR,4:30 PM,42,MN Metro Stars Finley ,Oklahoma Swarm 2017 Elite,,,,,,
THUR,4:30 PM,43,Lady Speed 11th,Quad City Attack Black,,,,,,
THUR,4:30 PM,44,EJ Hoops U17 Blue,Minnesota Stars Hofschild,,,,,,
